Timestamp,Please select your country:,What region do you work in?,What city do you work in?,Are you a chartered engineer?,What province do you work in?,What city do you work in?,Select your highest level of professional attainment?,What state do you live in?,What is your highest level of professional attainment?,What state do you work in?,What city do you work in?,Select your highest level of professional attainment?,What is the maximum contribution offered by your employer as a percentage of your salary for an ESOP?,What is the maximum contribution offered by your employer as a percentage of your salary for a 401k?,Select your highest level of education attainment,Company Name (Optional),Company Head Count,What is your job title?,Which best describes your participation in the Civil Engineering industry?,Which sub discipline do you work in?,Do you work in the Public or Private sector?,How many years of post-graduate experience do you have in Civil Engineering?,What is your current annual salary?,What is your current billing rate?,What is your utilization percentage?,If you received a sign-on bonus how much was it?,How much did you earn in discretionary bonuses?,If you are a compensated with commission how much was your commission?,Is health insurance available?,How many days of paid time off do you receive per  year? (Sick time + Vacation Time),How many days per week do/can you work from home?,How many hours per week do you work on average?,How are you compensated for overtime?,Are you actively looking to change jobs?,Does your employer offer any student loan reimbursement?,Do you have a company vehicle?,"What is your overall job satisfaction considering your pay, work-life balance, benefits, community standing, and all other factors?","What salary would it take for you to change employers for a similar role, assuming the benefits are the same?",If there is any additional relevant information about your job you feel someone who looks at your responses needs to know please provide it below.,Please select your gender,"How many hours of paternity leave does your company offer, if any?","How many hours of maternity leave does your company offer, if any?"
8/28/2023 6:56:56,United States of America,,,,,,,,,Pennsylvania,Pittsburgh,PE,0,4,Bachelors Degree,,500+,Bridge Engineer,Full Time,Bridges,Private,6,85612,N/A,88,,0,0,Yes but I still pay a premium,"12 vacation, unlimited sick time ",2,41,Straight time (1.0x),No,Yes,No,8,94000,,Female,,12 weeks
8/28/2023 7:06:20,Canada,,,,Ontario,Ottawa,EIT,,,,,,,,Bachelors Degree,,30000,Water Resources EIT,Full Time,Water Resources,Private,2,74100,125,80,,1500,0,Yes but I still pay a premium,20,5,37.5,Time and a half (1.5x),No,No,No,8,82000,,Male,0,
8/28/2023 7:30:01,United States of America,,,,,,,,,Minnesota,Saint Paul,EIT,2,5.25,Bachelors Degree,,1900,Railway Design Engineer,Full Time,Railroad,Private,4,86000,N/A,100,5000,5000,0,Yes but I still pay a premium,23,5,43,Not compensated (Exempt),No,No,No,7,110000,,Male,12 weeks,
8/28/2023 7:42:58,United States of America,,,,,,,,,Massachusetts,Springfield,PE,0,3,Bachelors Degree,,2000,Project Manager,Full Time,Transportation,Private,10,125000,N/A,N/A,,6000,0,Yes but I still pay a premium,26,3,41,Not compensated (Exempt),Yes,No,No,8,145000,,Male,80,
8/28/2023 7:44:09,United States of America,,,,,,,,,Virginia,Virginia Beach,EIT,0,3,Bachelors Degree,WSP,68000,Traffic Engineer,Full Time,Transportation,Private,2,73500,N/A,98,,0,0,Yes but I still pay a premium,16,3,40,Straight time (1.0x),No,Yes,No,9,95000,,Female,,120
8/28/2023 8:17:41,United States of America,,,,,,,,,Washington,Olympia,None,0,4706,Bachelors Degree,wsdot,6036,Transportation Engineer II,Full Time,Transportation,Public,0,74376,N/A,N/A,0,0,0,Yes and fully covered,15,3,40,Time and a half (1.5x),No,No,Yes,8,95000,fresh hire,Male,?,
8/28/2023 8:29:10,United States of America,,,,,,,,,Texas,Houston,EIT,0,3,Bachelors Degree,,500-1000,Project Engineer,Full Time,Government/Municipal,Private,1,78000,142,90,2000,1100,0,Yes and fully covered,15,2,40,Not compensated (Exempt),No,No,No,8,100000,,Male,0,
8/28/2023 8:49:13,United States of America,,,,,,,,,Illinois,Alton,EIT,3,3,Masters Degree,,55,Design Engineer ,Full Time,Transportation,Public,5,80000,150,100,0,0,0,Yes but I still pay a premium,24,0,40,Time and a half (1.5x),Yes,Yes,No,5,95000,,Male,100,
8/28/2023 9:20:53,United States of America,,,,,,,,,Florida,Orlando ,PE,0,3,Masters Degree,,25,Civil engineer,Full Time,Land Development,Private,4,95000,170,85,,5000,0,Yes but I still pay a premium,15,0,43,Not compensated (Exempt),No,No,No,9,115000,,Male,Unsure ,
8/28/2023 9:22:57,United States of America,,,,,,,,,Illinois,Chicago,PE,0,8,Bachelors Degree,,25,Construction Engineer,Full Time,Construction/Field,Private,12,125000,60,90,0,10000,0,Yes but I still pay a premium,15,3,40,Straight time (1.0x),No,No,Yes,8,140000,,Male,0,
8/28/2023 9:23:58,United States of America,,,,,,,,,California,San Jose,PE,0,1,Masters Degree,,1000,Associate Engineer ,Full Time,Water Resources,Public,4,150000,N/A,N/A,,0,0,Yes but I still pay a premium,27,2,40,Time and a half (1.5x),No,No,No,9,180000,,Prefer not to say,6 months unpaid,
8/28/2023 9:25:50,United States of America,,,,,,,,,Georgia,Atlanta,PE,0,4,Masters Degree,,6000,Business Manager,Full Time,Geotechnical,Private,15,150000,N/A,N/A,,45000,0,Yes and fully covered,18,2,50,Not compensated (Exempt),No,Yes,No,6,180000,Have been in management for just over 10 years. ,Male,0,
8/28/2023 9:26:59,United States of America,,,,,,,,,Illinois,Champaign,PE,0,3,Bachelors Degree,,2000+,Engineer,Full Time,Land Development,Private,5,90000,160,83,5000,0,0,Yes but I still pay a premium,25,5,35,Straight overtime if entire week is 100% billable,No,Yes,No,7,"100,000",,Male,Unkown,
8/28/2023 9:32:03,United States of America,,,,,,,,,North Carolina,Charlotte,PE,10,20,Masters Degree,,32000,Airfield Engineer,Full Time,Aviation,Public,5,105000,N/A,86,2000,1200,0,Yes but I still pay a premium,30,2,40,Straight time (1.0x),No,No,No,8,155000,,Male,160,
8/28/2023 9:48:42,United States of America,,,,,,,,,California,Sacramento,PE,0,3,Masters Degree,,500,associate engineer,Full Time,Water Resources,Public,6,121000,N/A,87,,0,0,Yes but I still pay a premium,12,5,45,Straight time (1.0x),No,No,No,7,135000,,Female,,
8/28/2023 9:51:12,United States of America,,,,,,,,,California,Irvine,EIT,1,4,Bachelors Degree,,"20,000+",EIT,Full Time,Transportation,Private,2.5,89000,N/A,N/A,,0,0,Yes but I still pay a premium,20,As much as I want,40,Time and a half (1.5x),No,No,No,8,100000,,Prefer not to say,Not sure,
8/28/2023 9:55:40,United Kingdom,Scotland,Edinburgh,Yes,,,,,,,,,,,Masters Degree,,+10000,Senior Civil Engineer,Full Time,Water Resources,Public,4.5,40000,N/A,N/A,,0,0,Yes and fully covered,33,5,7.5,Not compensated (Exempt),Yes,No,No,8,50000,,Male,33,
8/28/2023 9:57:16,United States of America,,,,,,,,,North Carolina,Raleigh,EIT,3,3,Bachelors Degree,,2000,Bridge eit,Full Time,Structural,Private,1,69000,N/A,N/A,,0,0,Yes but I still pay a premium,21,7,40,Straight time (1.0x),No,No,No,9,85000,,Male,80,
8/28/2023 10:03:17,United States of America,,,,,,,,,California,"Oakland, CA",EIT,2,4,Bachelors Degree,,70,Project Engineer,Full Time,Structural,Private,1.5,75920,160,N/A,,1900,0,Yes but I still pay a premium,15,2,39,PTO,No,No,Yes,7,80000,,Female,,not sure
8/28/2023 10:04:29,United States of America,,,,,,,,,Texas,DFW,PE,0,6,Bachelors Degree,,60,Discipline Director,Full Time,Water Resources,Private,15,155000,N/A,5%,0,0,0,Yes but I still pay a premium,20,0-1,50,Not compensated (Exempt),Yes,Yes,Yes,9,175000,,Male,80,
8/28/2023 10:14:38,United States of America,,,,,,,,,California,Los Angeles ,PE,0,4.15,Masters Degree,,2000,Engineer,Full Time,Government/Municipal,Public,10,164000,N/A,N/A,,0,0,Yes and fully covered,30,3,40,Time and a half (1.5x),No,No,No,10,200000,,Female,,
8/28/2023 10:21:58,United States of America,,,,,,,,,Illinois,chicago,PE,0,0,Bachelors Degree,,60,Coordinating Engineer ,Full Time,Construction/Field,Public,8,118000,N/A,N/A,,0,0,Yes but I still pay a premium,26,1,35,Not compensated (Exempt),No,No,No,7,150000,Government Employee,Male,420,
8/28/2023 10:59:23,United States of America,,,,,,,,,Kentucky,Lexington ,PE,0,3,Bachelors Degree,,25,Senior Engineer ,Full Time,Geotechnical,Private,8,100000,200,N/A,10000,3000,0,Yes but I still pay a premium,25 counting holidays ,"Do 1, can 5",43,Not compensated (Exempt),No,No,Yes,9,125000,,Male,0,
8/28/2023 11:03:47,United States of America,,,,,,,,,Texas,Houston,EIT,0,4,Bachelors Degree,,50,Civil Designer 2 EIT,Full Time,Land Development,Private,4,92000,N/A,N/A,2000,5000,0,Yes but I still pay a premium,15,5,40,Not compensated (Exempt),No,No,No,7,105000,,Transgender,40,
8/28/2023 11:40:03,United States of America,,,,,,,,,Colorado,Denver,EIT,0,8,Bachelors Degree,County Government ,500+,Associate Transportation Engineer,Full Time,Transportation,Public,3,76000,N/A,N/A,,150,0,Yes but I still pay a premium,22,4,40,No Overtime,No,Yes,Yes,8,"100,000",,Male,Not Sure,
8/28/2023 11:54:30,United States of America,,,,,,,,,Florida,Tampa,EIT,0.06,0.02,Bachelors Degree,,5000-6000,Engineer 1,Full Time,Transportation,Private,0,73000,N/A,N/A,5000,0,0,Yes but I still pay a premium,22,0,42,Straight time (1.0x),No,No,No,8,N/A,,Male,N/A,
8/28/2023 12:33:15,United States of America,,,,,,,,,New Jersey,Jersey City,PE,0,6,Bachelors Degree,,70,Staff Engineer,Full Time,Land Development,Private,5.6,80400,N/A,93,,3800,0,Yes but I still pay a premium,20,5,40,Straight time (1.0x),Yes,No,No,7,96000,,Male,3 Weeks ,
8/28/2023 12:37:31,United States of America,,,,,,,,,Utah,Salt Lake City,EIT,0,10,Bachelors Degree,DOT,1800,Engineer II,Full Time,Transportation,Public,2,75004,N/A,N/A,,0,0,Yes and fully covered,38,2,40,comp time (more leave),No,No,No,7,100000,"Days off includes 4 hours sick and 4 hours PTO every two weeks, 12 holidays, HDHP with a 0 dollar premium & ~1800 employer contribution to HSA; vision and dental are very cheap (a few dollars per pay period) with great coverage; total compensation is around 100K.",Male,120,
8/28/2023 12:39:02,United States of America,,,,,,,,,Georgia,Atlanta,PE,0,4,Bachelors Degree,,20,Project Manager,Full Time,Land Development,Public,7,110000,N/A,N/A,0,8000,0,Yes and fully covered,18,5,45,Not compensated (Exempt),Yes,No,No,8,125000,,Male,80,
8/28/2023 13:22:30,United States of America,,,,,,,,,California,Orange County,PE,0,0,Bachelors Degree,,25,Senior Engineer,Full Time,Structural,Private,9,130000,150,N/A,0,100,0,Fully covered for me but I have to pay my families premiums to add them,18,5,40,Not compensated (Exempt),No,No,No,7,150000,,Male,0,
8/28/2023 13:47:58,United States of America,,,,,,,,,Virginia,Norfolk,EIT,0,5,Bachelors Degree,Non-military federal agency,12000,"Project Engineer, GS 12",Full Time,Government/Municipal,Public,5,86000,N/A,N/A,,1500,0,Yes but I still pay a premium,32.5,4,40,Time and a half (1.5x),No,No,Yes,9,"100,000",,Female,,Few months
8/28/2023 13:50:27,United States of America,,,,,,,,,New York,NYC,EIT,0,8,Bachelors Degree,,1600,Structural Designer 2,Full Time,Structural,Private,0,81000,unknown ,95,5000,0,0,Yes and fully covered,20,5,40,Straight time (1.0x),No,Yes,No,6,90000,,Male,Unknown,
8/28/2023 14:02:56,United States of America,,,,,,,,,Minnesota,Minneapolis,EIT,5,5,Bachelors Degree,,500,Civil Engineer 1,Full Time,Transportation,Private,1,71000,I don't know,98%,3000,0,0,Yes but I still pay a premium,9 vacation/6 sick,2 (i can work 4 remote if I wanted),45,Straight time (1.0x),No,No,No,6,85000,,Male,80,
8/28/2023 14:03:35,United States of America,,,,,,,,,California,Visali,None,0,0,Masters Degree,,500,Assistant Engineer,Full Time,Government/Municipal,Public,1,82000,N/A,N/A,,2500,0,Yes and fully covered,22,0,40,Not compensated (Exempt),No,No,No,7,"100,000",,Male,0,
8/28/2023 14:27:07,United States of America,,,,,,,,,Maryland,Baltimore,PE,0,4,Bachelors Degree,,1700,Process Engineer,Full Time,Land Development,Private,6,113360,150,95%,0,0,0,Yes but I still pay a premium,27,1,43,Straight time (1.0x),No,No,No,7,135000,"Process/Chemical/Mechanical eng by degree and trade, group is part of majority Civil/AEC firm. ",Male,200,
8/28/2023 15:37:52,United States of America,,,,,,,,,Oregon,Medford,None,0,400,Associates Degree,,7,Projec Manager,Full Time,Land Development,Private,8,68500,N/A,N/A,,0,0,Yes and fully covered,11,0,40,Time and a half (1.5x),No,No,No,6,85000,,Male,288,
8/28/2023 15:49:53,United States of America,,,,,,,,,Idaho,Boise,PE,3,3,Bachelors Degree,,110,Project Engineer,Full Time,Bridges,Private,4.5,86400,41.53,90,,3000,0,Yes and fully covered,24,5,40,Not compensated (Exempt),No,No,No,9,"100,000",,Male,24,
8/28/2023 15:53:48,United States of America,,,,,,,,,Hawaii,Honolulu,EIT,0,3,Bachelors Degree,,200,Civil Engineer II,Full Time,Construction/Field,Private,5,77000,144.43,95,0,0,0,Yes but I still pay a premium,15,2,50,Not compensated (Exempt),Yes,No,No,3,85000,,Male,0,
8/28/2023 16:05:23,United States of America,,,,,,,,,California,San Diego,PE,0,0,Bachelors Degree,,20000,Transportation Engineer,Full Time,Government/Municipal,Public,13,122220,N/A,N/A,,0,0,Yes but I still pay a premium,20,3,40,Time and a half (1.5x),No,No,No,8,175000,Will average ~7.5% raise every year for the next 9 years,Male,240,
8/28/2023 16:15:54,United States of America,,,,,,,,,Ohio,Cleveland,EIT,5,6,Masters Degree,,50000,Transportation Engineer ,Full Time,Transportation,Private,5,86000,N/A,N/A,,0,0,Yes but I still pay a premium,Unlimited ,5,48,Time and a half (1.5x),No,No,No,7,100000,,Prefer not to say, ,
8/28/2023 16:53:20,United States of America,,,,,,,,,Missouri,Springfield,PE,0,4,Bachelors Degree,,200,Junior Engineer,Full Time,Land Development,Private,4,90000,N/A,N/A,0,3000,0,Yes but I still pay a premium,15,5,40,Not compensated (Exempt),Yes,No,No,3,110000,Fully Remote,Male,40,
8/28/2023 17:37:07,United States of America,,,,,,,,,Nevada,Reno,PE,25,0,Bachelors Degree,,13,Staff Engineer,Full Time,Water Resources,Private,5,77500,100,90,,4000,0,Yes and fully covered,15,0,40,Time and a half (1.5x),No,No,Yes,6,82000,,Male,0,
8/28/2023 17:38:45,United States of America,,,,,,,,,Michigan,Detroit,None,0,9,Bachelors Degree,,75,Project Manager ,Full Time,Construction/Field,Private,9,107000,N/A,N/A,,14000,0,Yes and fully covered,21,0,50,Not compensated (Exempt),No,No,Yes,8,140000,,Male,0,
8/28/2023 18:23:36,United States of America,,,,,,,,,New Hampshire,Manchester ,PE,5,3,Bachelors Degree,,700,Project Manager,Full Time,Wastewater,Private,11,109900,N/A,78,,3500,0,Yes but I still pay a premium,26,2,45,Not compensated (Exempt),Yes,No,No,6,130000,,Male,0,
8/28/2023 18:58:21,United States of America,,,,,,,,,New York,New York,PE,8,4,Bachelors Degree,,110,Project Manager,Full Time,Transportation,Private,11,149000,N/A,N/A,,12500,0,Yes but I still pay a premium,25,0,40,Straight time (1.0x),No,No,No,8,170000,,Female,,480
8/28/2023 19:08:45,United States of America,,,,,,,,,Minnesota,Maplewood ,PE,0,3.25,Bachelors Degree,,10,Assistant City Engineer,Full Time,Government/Municipal,Public,17,122000,N/A,N/A,,0,0,Yes and fully covered,31,2,40,Not compensated (Exempt),No,Yes,No,9,Significantly Higher pay,In addition to 401k contributions I receive pension contributions.,Male,0,
8/28/2023 19:15:00,United States of America,,,,,,,,,Ohio,Cleveland,EIT,4,4,Bachelors Degree,,50,Transportation engineer ,Full Time,Transportation,Private,2,65000,N/A,N/A,,3500,0,Yes but I still pay a premium,14,2,40,Straight time (1.0x),Yes,No,No,6,75000,,Male,idk,
8/28/2023 19:52:03,United States of America,,,,,,,,,Pennsylvania,Philadelphia,PE,0,4.5,Masters Degree,,4000,Civil Engineer,Full Time,Water Resources,Private,9,102000,205,88,,0,0,Yes but I still pay a premium,20 + 9,5,40,Straight time (1.0x),Yes,No,No,6,140000,,Male,80,
8/28/2023 19:55:55,United States of America,,,,,,,,,Virginia,Alexandria,PE,0,3,Masters Degree,,50000,Civil Engineer,Full Time,Water Resources,Private,5,98000,N/A,N/A,0,0,0,Yes but I still pay a premium,20,5,40,Straight time (1.0x),No,No,No,8,115000,,Male,80,
8/28/2023 20:22:29,United States of America,,,,,,,,,Georgia,Athens,EIT,0,6,Bachelors Degree,Pennoni,1300,Staff Engineer I,Full Time,Transportation,Public,5,78500,N/A,N/A,,1500,0,Yes but I still pay a premium,28,5,40,Straight time (1.0x),No,No,No,8,95000,,Male,Unknown,
8/28/2023 20:54:03,United States of America,,,,,,,,,Ohio,Cincinnati ,PE,0,3,Bachelors Degree,,500,Project engineer ,Full Time,Water Resources,Public,4,79000,N/A,N/A,,1200,0,Yes and fully covered,10,0,40,Not compensated (Exempt),No,No,No,7,90000,,Male,0,
8/28/2023 21:16:43,United States of America,,,,,,,,,California,Los angeles,PE,0,3,Bachelors Degree,,2000,Civil Engineer,Full Time,Transportation,Private,10,160000,N/A,85,,10000,0,Yes but I still pay a premium,22,2,45,Straight time (1.0x),No,No,No,8,180000,,Male,Idk,
8/28/2023 21:25:21,United States of America,,,,,,,,,New York,New York City,EIT,0,6,Doctorate Degree,,150,Offshore Wind Engineer,Working in a different industry,Renewables,Private,1,122000,N/A,N/A,0,30000,0,Yes and fully covered,20,3,40,Not compensated (Exempt),Yes,Yes,No,8,170000,I have 6 years in the energy industry prior to transitioning to engineering.,Male,320,
8/28/2023 21:34:54,United States of America,,,,,,,,,Colorado,Denver,None,10,5,Masters Degree,,100,Construction Claims Consultant,Full Time,Construction/Field,Private,10,210000,N/A,110,,40000,0,Yes and fully covered,20,5,45,Annual bonus,No,No,No,8,300000,,Prefer not to say,0,
8/28/2023 21:42:12,United States of America,,,,,,,,,Texas,Dallas,None,123456789,123456789,Bachelors Degree,,300,Project Engineer,Full Time,Government/Municipal,Private,0,85000,N/A,N/A,5000,123456789,0,Yes and fully covered,18,4,35,Not compensated (Exempt),No,Yes,No,9,100000,Owners rep ,Female,,
8/28/2023 21:58:03,United States of America,,,,,,,,,Pennsylvania,Pittsburgh,PE,0,1.5,Bachelors Degree,,400,Highway Engineer,Full Time,Transportation,Private,7,92000,N/A,90,3000,0,0,Yes but I still pay a premium,10,4,40,Straight time (1.0x),Yes,No,No,7,110000,,Male,0,
8/28/2023 22:48:58,United States of America,,,,,,,,,Arizona,Scottsdale ,PE,0,3,Bachelors Degree,,1200,Manager,Full Time,Transportation,Private,18,165000,260,50,,25000,0,Yes but I still pay a premium,40,0,45,Not compensated (Exempt),No,No,No,9,225000,,Male,80,
8/28/2023 23:33:27,United States of America,,,,,,,,,Texas,San Antonio,EIT,0,5,Bachelors Degree,,120,Associate Engineer ,Full Time,Forensics - civil ,Private,3,71225,235,N/A,,3660,0,Yes but I still pay a premium,18,5,40,Straight time (1.0x),No,No,Yes,7,100000,,Male,UNK,
8/28/2023 23:49:27,hong kong,,,,,,,,,,,,,,Bachelors Degree,,300,Project Manager,Full Time,Construction/Field,Private,13,840000,N/A,N/A,0,80000,0,Yes and fully covered,12,0,42,Not compensated (Exempt),No,No,Yes,7,80000,,Male,3,
8/29/2023 0:24:29,United States of America,,,,,,,,,Hawaii,Honolulu,PE,0,4,Bachelors Degree,,1600,Structural Engineer,Full Time,Bridges,Private,8,116600,N/A,N/A,,2000,0,Yes but I still pay a premium,27,0,50,Straight time (1.0x),No,Yes,No,4,This is too heavily location dependent to answer,,Male,No idea,
8/29/2023 1:24:36,United States of America,,,,,,,,,Colorado,Denver,EIT,0,8,Bachelors Degree,,50,Engineer II,Full Time,Government/Municipal,Public,8,100000,N/A,N/A,,0,0,Yes but I still pay a premium,27,5,40,Not compensated (Exempt),No,Yes,No,9,150000,,Male,120,
8/29/2023 1:40:00,United States of America,,,,,,,,,North Carolina,Charlotte ,PE,6,3,Bachelors Degree,,Large,Civil Engineer 3,Full Time,Water Resources,Private,8,100000,N/A,N/A,3000,1000,0,Yes but I still pay a premium,Fto,3,45,Not compensated (Exempt),No,Yes,No,8,130000,,Male,160,
8/29/2023 6:51:42,United States of America,,,,,,,,,Maryland,Baltimore,PE,0,7.5,Masters Degree,,~1500,Project Manager,Full Time,Construction/Field,Private,10,126000,N/A,N/A,0,10000,0,Yes but I still pay a premium,25,4,40,Straight time (1.0x),No,Yes,No,10,150000,,Male,80,
8/29/2023 7:15:27,United States of America,,,,,,,,,Virginia,Richmond,EIT,8.5,8,Bachelors Degree,,18000,Engineer 1,Full Time,Construction/Field,Private,0,72000,N/A,N/A,5000,0,0,Yes but I still pay a premium,15,0,45,Time and a half (1.5x),No,No,No,8,85000,,Male,0,
8/29/2023 7:36:14,United States of America,,,,,,,,,Massachusetts,Boston,PE,0,5,Bachelors Degree,,25,Project Manager - Structural Engineering,Full Time,Bridges,Private,7,94370,Unknown,Unknown,,9000,0,Yes but I still pay a premium,20,5,42,Straight time (1.0x),No,No,No,8,125000,,Male,0,
8/29/2023 7:39:24,United States of America,,,,,,,,,Indiana,Indianapolis,PE,0,3.5,Bachelors Degree,,1500,Engineer II,Full Time,Water Resources,Private,5,75200,N/A,N/A,,0,0,Yes but I still pay a premium,15,5,40,Straight time (1.0x),No,No,No,7,85000,Hopefully getting promotion soon to Engineer III after passing PE,Male,0,
8/29/2023 7:40:15,United States of America,,,,,,,,,Maryland,Baltimore,None,6,0,Bachelors Degree,,1000,Design Engineer,Full Time,Water/wastewater,Private,0,75000,N/A,N/A,,0,0,Yes and fully covered,14,2,40,Straight time (1.0x),Yes,No,No,7,85000,,Male,80,
8/29/2023 7:56:02,United States of America,,,,,,,,,New York,Rochester ,EIT,0,0,Bachelors Degree,,160,Engineer ,Full Time,Land Development,Private,2,57500,85,95,0,0,0,Yes but I still pay a premium,14,2,43,Straight time (1.0x),No,No,No,6,75000,,Male,0,
8/29/2023 8:01:56,United States of America,,,,,,,,,California,San Diego ,PE,5,3,Masters Degree,,200,Design engineer,Full Time,Structural,Private,2.5,97200,180,N/A,,1000,0,Yes but I still pay a premium,18,2,40,Straight time (1.0x),Yes,Yes,No,5,120000,,Male,480,
8/29/2023 8:05:47,United States of America,,,,,,,,,North Carolina,Raleigh,PE,0,3,Bachelors Degree,NV5,3600,Traffic Engineer,Full Time,Transportation,Private,4,95000,135,80,0,1600,0,Yes but I still pay a premium,15,3,40,Straight time (1.0x),Yes,No,No,7,105000,,Male,0,
8/29/2023 8:32:47,United States of America,,,,,,,,,South Carolina,Charleston,PE,0,4,Masters Degree,,30,Vice President,Full Time,Land Development,Private,11,125000,200,70,0,35000,0,Yes but I still pay a premium,20,0,45,Not compensated (Exempt),No,Yes,No,7,155000,,Male,0,
8/29/2023 8:43:55,United States of America,,,,,,,,,Texas,DFW Metroplex,EIT,0,18,Bachelors Degree,Kimley-Horn,7000,Civil Analyst ,Full Time,Water Resources,Private,1.3,76500,N/A,96,,5000,0,Yes and fully covered,21,1,45,Not compensated (Exempt),Yes,No,No,7,75000,,Male,2 weeks,
8/29/2023 9:09:46,United States of America,,,,,,,,,California,San Diego,None,0,4,Bachelors Degree,,4000,Engineering Manager,Full Time,telecom,Private,8,86660,N/A,N/A,0,0,0,Yes but I still pay a premium,12,5,30,Not compensated (Exempt),No,No,No,5,120000,,Male,0,
8/29/2023 9:15:43,United States of America,,,,,,,,,Virginia,Herndon,PE,0,6,Bachelors Degree,Jacobs,60000,Structural Engineer,Full Time,Structural,Public,7,105000,150,98,,0,0,Yes and fully covered,Unlimited ,Unlimited ,40,Straight time (1.0x),No,No,No,8,130000,,Male,Unknown,
8/29/2023 10:42:42,United States of America,,,,,,,,,Illinois,Southern IL,PE,5,0,Bachelors Degree,,50,Transportation Engineer,Full Time,Transportation,Private,4,75000,N/A,N/A,,5000,0,Yes but I still pay a premium,15,0,40,Straight time (1.0x),No,No,No,7,90000,"Just received PE license, not sure what my raise will be",Female,,Not sure
8/29/2023 10:55:39,United States of America,,,,,,,,,Illinois,Chicago,PE,0,1.5,Bachelors Degree,,142,Project Manager,Full Time,Transportation,Private,13,143520,69,102%,,23000,0,Yes and fully covered,23,3,45,Straight time (1.0x),No,No,No,8,180000,,Male,0,
8/29/2023 11:16:57,United States of America,,,,,,,,,Wisconsin,Green Bay ,PE,0,3,Bachelors Degree,,30,Structural Engineer ,Full Time,Structural,Private,4,85000,N/A,99,,5000,0,Yes and fully covered,10,1,40,Bonus ,Yes,No,No,5,95000,,Male,0,
8/29/2023 11:35:20,United States of America,,,,,,,,,Texas,Houston,PE,0,4,Bachelors Degree,,50,Transportation Engineer,Full Time,Transportation,Private,7,100000,N/A,N/A,0,10000,0,Yes and fully covered,25,3,40,Not compensated (Exempt),No,No,No,8,130000,,Female,,240
8/29/2023 12:34:31,United States of America,,,,,,,,,Maine,Portland,EIT,0,4,Bachelors Degree,CCE,70,Civil Engineering Intern,Full Time,Construction/Field,Private,3.5,67500,N/A,N/A,0,1500,0,Yes but I still pay a premium,20,2,43,Not compensated (Exempt),No,No,No,6,75000,,Male,300,
8/29/2023 13:26:51,United States of America,,,,,,,,,New York,New York,EIT,0,4,Bachelors Degree,,30000,Civil Engineer 1,Full Time,Water Resources,Private,1,74214,34,80,,1000,0,Yes but I still pay a premium,15,7,40,Straight time (1.0x),No,No,No,8,85000,,Male,10,
8/29/2023 13:46:54,United States of America,,,,,,,,,Texas,Houston,PE,0,6,Bachelors Degree,Quiddity,750,Project Engineer,Full Time,Environmental,Public,4,100000,175,90,,10000,0,Yes and fully covered,15,0,40,Straight time (1.0x),No,No,No,8,115000,,Male,0,
8/29/2023 14:11:47,United States of America,,,,,,,,,Indiana,Whiting,None,0,7,Bachelors Degree,,+10000,Maintenance Planner,Full Time,Construction/Field,Public,2,98000,N/A,N/A,15000,12000,0,Yes but I still pay a premium,17,2,45,Straight time (1.0x),No,Yes,No,9,120000,Oil and Gas sector,Male,320,
8/29/2023 14:40:16,United States of America,,,,,,,,,Nevada,Las Vegas,EIT,0,8,Bachelors Degree,,8000,Civil Analyst,Full Time,Land Development,Private,2,77000,N/A,96,1500,11000,0,Yes and fully covered,15,0,45,Not compensated (Exempt),Yes,Yes,No,5,80000,,Female,,
8/29/2023 15:31:14,United States of America,,,,,,,,,California,Eureka,PE,0,0,Bachelors Degree,CalTrans,10000,Transportation Engineer,Full Time,Transportation,Public,9,109000,N/A,N/A,0,0,0,Yes and fully covered,30.5,3,40,Time and a half (1.5x),No,No,No,9,160000,,Male,0,
8/29/2023 16:04:22,United States of America,,,,,,,,,Oregon,Portland,PE,0,4,Masters Degree,,250,Project Engineer,Full Time,Water Resources,Private,4,91520,180,75,,3200,0,Yes and fully covered,20,1,40,Straight time (1.0x),No,No,No,8,105000,,Female,,320
8/29/2023 16:16:45,Canada,,,,Ontario,Toronto ,PE,,,,,,,,Bachelors Degree,,70000,Project Engineer ,Full Time,Government/Municipal,Public,8,115000,160,85,,0,0,Yes and fully covered,20,3,40,Not compensated (Exempt),Yes,No,No,6,130,,Female,,18 months 
8/29/2023 16:50:44,United States of America,,,,,,,,,Oregon,Portland,EIT,0,4,Bachelors Degree,,250,Staff Engineer,Full Time,Geotechnical,Private,6,85000,N/A,80,1000,5000,0,Yes and fully covered,15,5,40,Straight time (1.0x),No,Yes,No,6,95000,,Female,,3 months
8/29/2023 17:01:32,United States of America,,,,,,,,,Illinois,Chicago,PE,0,3,Bachelors Degree,,1500+,Structural Engineer III,Full Time,Structural,Private,12,97000,49.3,94,3000,9300,0,Yes but I still pay a premium,Unlimited,3,40,Not compensated (Exempt),No,No,No,10,130000,Company provides a one-time bonus for acquiring PE license. No raise.,Male,80,
8/29/2023 17:02:26,United States of America,,,,,,,,,California,Humboldt County,PE,9999999,3,Bachelors Degree,,10000,Civil Engineer,Full Time,Water Resources,Public,8,112000,N/A,N/A,,9999999,9999999,Yes but I still pay a premium,20,3,40,Not compensated (Exempt),No,No,No,7,130000,About 9 paid holidays. Entered 9999999 as unknown or N/A,Transgender,9999999,
